1,５秒,なし
2,分かりません,なし
3,分かりません,なし
4,恋人が資産家と結婚しなくてはならなくなり，心中したが男だけが生き残ったから．,なし
5,２か国,なし
6,武男,なし
7,３週間ほど,なし
8,２回,なし
9,マッカリヌプリ，ルベシベ，ニセコアン，シリベシ,なし
10,１４年,なし
11,分かりません,なし
12,分かりません,なし
13,弟,なし
14,分かりません,なし
15,分かりません,なし
16,濃紺，紫，バラ色，薄青，パールグレイ,なし
17,末の児であるお繁が死ぬかもしれないと考えたから．,なし
18,分かりません,なし
19,７回,なし
20,主人の老母が，泥棒に対して穏やかに金を差し出したから,なし
21,桜、躑躅、柿、李、林檎,なし
22,野呂一平,なし
23,窪田，小林，久野，斎藤，早川，水原,なし
24,０回,なし
25,文科,なし
26,分かりません,なし
27,農科,なし
28,上州伊香保,なし
29,分かりません,なし
30,著作を完了するため,なし
31,分かりません,なし
32,７月,なし
33,分かりません,なし
34,眉の間ややせまりて、頬のあたりの肉寒げなる、瘠形のすらりとしおらしき人品,なし
35,分かりません,なし
36,質問誤り,なし
37,六尺,なし
38,高崎,なし
39,約82.5キロ,なし
40,分かりません,なし
41,２週間目,なし
42,与十の妻,なし
43,質問誤り,なし
44,バスの出入り口の木の階段の影,なし
45,"片岡中将, 浪子, 武男",なし
46,馬,なし
47,万右衛門,なし
48,質問誤り,なし
49,18歳から19歳,なし
50,分かりません,なし
51,北海道,なし
52,１円50銭,なし
53,1円65銭,なし
54,分かりません,なし
55,鳥金,なし
56,100センチメートル,なし
57,分かりません,なし
58,武男,なし
59,分かりません,なし
60,質問誤り,なし
